Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
Conception et réalisation de carrosseries,1164,1143,402,21,5,420,0,107,1,99,106,5,148,1,69,29,60,7
Conception et Réalisation de Systèmes Automatiques,17026,16376,6840,630,190,5695,156,1480,44,1819,1888,91,2357,109,903,807,770,67
Conception et réalisation en chaudronnerie industrielle,3526,3464,925,62,13,1876,23,187,3,464,483,4,567,28,329,107,115,21
Contrôle industriel et régulation automatique,4760,4338,1868,418,103,999,117,504,35,485,522,65,717,70,138,277,468,54
CPESIP (Cycle préparatoire aux Etudes Supérieures et à l'Insertion Professionnelle),1308,1088,408,219,39,454,85,126,20,154,108,55,240,1,147,6,858,99
Cursus préparatoire aux concours des grandes écoles d'ingénieurs,1377,1306,46,71,2,11,6,928,19,13,13,10,30,13,0,0,517,7
Cycle pluridisciplinaire d?'enseignement supérieur - Humanités,931,931,5,0,0,4,0,813,0,38,40,0,40,38,0,0,699,35
Cycle pluridisciplinaire d'enseignement supérieur - Sciences,933,933,14,0,0,3,0,813,0,45,45,0,45,45,0,0,483,26
Cycle pluridisciplinaire d'enseignement supérieur - SESJ,1645,1645,4,0,0,6,0,1495,0,63,65,0,65,63,0,0,1069,46
Cycle préparatoire aux concours des Instituts d'Etudes Politiques de province (Camille Saint Saëns),830,830,8,0,0,1,0,782,0,45,45,0,40,45,0,0,543,37
Cycle préparatoire aux concours des Instituts d'Etudes Politiques de province (Val de Seine),521,521,6,0,0,2,0,486,0,41,41,0,32,41,0,0,326,26
Cycle préparatoire aux écoles d'ingénieurs,3632,3616,0,16,0,0,0,2880,0,51,65,0,75,51,0,0,1385,25
Cycle préparatoire informatique,98,81,14,17,2,0,0,59,11,23,19,5,36,18,0,5,5,1
cycle préparatoire ingénieur (matériaux),262,244,3,18,1,0,4,209,4,16,17,0,20,16,0,0,84,3
Cycle préparatoire ingénieur technologies de l'information,431,431,14,0,0,3,0,354,0,48,48,0,48,48,0,0,96,4
Cycle préparatoire intégré,106,76,10,30,0,0,0,62,18,24,18,7,100,24,0,0,10,1
Cycle Préparatoire Lettres  - Licence renforcée,150,141,2,9,1,2,5,120,0,19,20,0,40,19,0,0,126,18
"Cycle préparatoire Physique Chimie, parcours d'Excellence",213,171,6,42,7,0,1,134,6,18,18,1,60,18,0,0,96,7
Cycle Universitaire de Préparation aux Grandes Ecoles Scientifiques,107,84,5,23,1,1,2,63,8,8,7,3,20,8,0,0,48,7
Cycle Universitaire Préparatoire aux Grandes Ecoles,1832,1832,55,0,0,16,0,1442,0,104,123,0,126,104,0,0,664,44
Cycle Universitaire Préparatoire aux Grandes Ecoles - Mathématiques et Physique,755,688,17,67,3,9,3,532,22,17,17,3,20,17,0,0,244,12
"Cycle universitaire préparatoire aux grandes écoles - Parcours Informatique, Mathématiques",175,132,4,43,2,0,1,101,11,6,7,0,28,6,0,0,43,2
Cycle universitaire préparatoire aux grandes écoles - Parcours Sciences pour l'ingénieur,253,205,4,48,4,0,0,177,16,10,11,4,36,10,0,0,66,6
Cycle universitaire préparatoire aux grandes écoles - Physique,263,202,1,61,5,4,2,155,16,18,18,6,30,18,0,0,61,7
Cycle Universitaire Préparatoire aux Grandes Ecoles - Physique et Mathématiques,494,406,8,88,6,6,5,306,18,9,12,1,20,9,0,0,158,7
Décor architectural A : Traitement plastique de la transparence (vitrail),61,61,15,0,0,4,0,3,0,0,7,0,7,0,0,0,50,6
Décor architectural B : Décor du mur : Laque,43,43,11,0,0,3,0,4,0,1,6,0,6,0,0,1,34,5
Décor architectural B : Décor du mur : Mosaïque / fresque,89,71,15,18,4,6,2,12,4,3,11,1,12,1,0,2,71,10
Décor architectural C : Métal,95,95,19,0,0,2,0,9,0,1,7,0,7,0,0,1,47,4
Décor architectural D : Matériaux de synthèse,110,110,24,0,0,2,0,10,0,1,12,0,12,0,0,1,90,8
Décor architectural Option arts du verre et du cristal,79,79,28,0,0,7,0,10,0,3,9,0,12,0,0,3,57,9
Design Communication - Espace - Volume,2208,2075,814,129,30,273,24,0,0,93,165,21,245,0,32,61,1865,164
"Design de mode, textile et environnement opt : mode",3217,3210,1062,7,2,609,0,0,0,89,198,2,196,0,22,67,2739,167
"Design de mode, textile et environnement, option textile et matériaux de surface",1389,1347,522,42,17,169,14,0,0,56,99,7,107,0,12,44,1231,90
Design de produits,5355,5203,2435,150,52,386,23,0,0,159,335,26,399,1,33,125,2933,217
Design d'espace,8556,8375,3021,181,70,1256,28,0,0,156,338,23,380,0,42,114,6092,304
Design graphique option Communication et médias imprimés,9404,9168,2686,231,41,1379,43,0,0,204,476,26,527,0,81,123,6857,375
Design graphique option Communication et médias numériques,7192,6919,1641,271,40,1423,58,0,0,137,318,18,347,0,70,67,4274,208
Développement de l'agriculture des régions chaudes,360,327,82,30,4,83,13,62,2,55,61,4,84,15,26,14,118,18
Développement et Réalisation Bois,2814,2753,761,61,18,1230,22,371,2,241,249,12,309,27,179,35,252,27
