Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
Autre formation,BPJEPS,Canoë-Kayak,27,3,26,9,8,4,1,0,0,0,7,1,0,1,1,0,0,1
Autre formation,DEJEPS,Canoë-kayak et disciplines associées en eau vive,8,1,6,2,3,1,2,0,1,1,2,1,0,1,1,0,0,1
Autre formation,DEJEPS,Canyonisme,10,3,10,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0
Autre formation,DU,Carrières juridiques,132,109,106,46,23,9,26,9,0,3,20,10,3,6,5,0,1,13
DUT,DUT - Service,Carrières juridiques,24986,18964,24448,12443,7414,814,535,98,99,34,1376,1290,54,1159,679,16,464,1104
DUT,DUT - Service,Carrières sociales Option animation sociale et socio-culturelle,11139,8356,10715,3352,3428,1100,421,38,147,39,844,800,33,513,256,54,203,628
DUT,DUT - Service,Carrières sociales Option assistance sociale,8046,7413,7810,2585,2742,752,236,15,118,3,259,250,6,200,115,9,76,242
DUT,DUT - Service,Carrières sociales Option éducation spécialisée,10583,9111,9904,3410,3298,796,679,66,196,96,243,230,7,140,82,7,51,212
DUT,DUT - Service,Carrières sociales Option gestion urbaine,3019,1867,2717,1210,597,115,301,50,35,40,376,289,35,212,144,4,64,213
DUT,DUT - Service,Carrières sociales Option services à la personne,2817,2525,2531,698,957,368,284,26,55,70,203,124,39,107,47,15,45,148
Autre formation,Technicien supérieur,Chargé de projet en aménagement durable du territoire,176,48,127,53,49,2,49,11,15,0,48,26,10,28,11,1,16,15
Autre formation,Formation en ingénierie,Chimie,1003,628,809,570,29,4,194,46,14,3,219,90,7,77,76,0,1,63
DUT,DUT - Production,Chimie,19499,11131,18958,12619,3036,70,539,88,119,14,1762,1605,45,1400,1092,0,308,984
Licence,Licence - Sciences - technologies - santé,Chimie,44219,25910,40509,28483,2782,213,3703,685,394,142,5792,2779,936,2234,1904,39,291,2005
Licence,Licence - Arts-lettres-langues,Cinéma,7231,3685,7231,4736,545,165,0,0,0,0,157,153,0,133,132,0,1,99
Autre formation,Diplôme des métiers d'Arts,Cinéma d'animation,2675,1610,2675,469,629,239,0,0,0,0,68,68,0,19,0,1,18,53
Autre formation,Année préparatoire,Classe d'approfondissement en arts plastiques,78,47,75,38,9,11,3,0,0,0,30,24,3,21,15,4,2,14
Autre formation,Année préparatoire,Classe de mise à niveau Cinéma-Audiovisuel,978,381,978,568,98,99,0,0,0,0,39,41,0,39,33,2,4,19
Autre formation,Année préparatoire,Classe de mise à niveau pour l'entrée en BTS et les poursuites d'études scientifiques,176,133,173,50,64,24,3,0,0,0,35,31,2,27,7,0,20,30
Autre formation,Classes préparatoires aux écoles du social,Classe préparatoire aux écoles des carrières sociales,5260,4625,5071,1679,1754,946,188,23,47,64,491,323,14,292,106,57,129,319
Autre formation,Classes préparatoires aux écoles paramédicales,Classe préparatoire aux écoles paramédicales,7712,6638,7505,2794,2822,1119,200,25,47,41,571,427,18,413,152,67,194,415
Autre formation,Classes préparatoires aux écoles paramédicales,Classe préparatoire en ergothérapie,78,66,68,38,20,7,10,1,1,1,120,3,0,3,1,0,2,2
Autre formation,"CUPGE - Sciences, technologie, santé",Classe Préparatoire Universitaire - Physique - Chimie,311,134,292,226,8,2,19,6,0,2,30,20,0,16,16,0,0,4
Autre formation,"CUPGE - Sciences, technologie, santé",Classe Préparatoire Universitaire Mathématiques - Physique - Informatique,444,116,417,328,16,3,27,3,3,2,32,21,1,19,19,0,0,12
Autre formation,Ecoles de commerce,Commerce,21830,9246,21219,13797,3329,625,596,180,105,49,2047,1052,137,970,775,20,175,549
BTS,BTS - Services,Commerce international à référentiel européen,122768,65969,114720,40162,33923,14100,8020,1123,2360,779,5897,4698,406,3968,1684,656,1628,3115
BTS,BTS - Services,Communication,81787,55211,78529,22062,23406,10445,3246,403,579,494,3520,2435,243,1926,816,346,764,1996
BTS,BTS - Services,Comptabilité et gestion,133097,64346,119468,25860,36915,26653,13514,1318,3725,2289,11353,8381,1121,7719,1632,2600,3487,4792
BTS,BTS - Production,Concepteur en art et industrie céramique,33,24,27,0,9,0,6,0,3,0,12,6,2,3,0,0,3,7
BTS,BTS - Production,Conception de processus de découpe et d'emboutissage,187,13,172,15,58,67,13,1,4,3,28,24,2,24,1,13,10,1
BTS,BTS - Production,Conception de produits industriels,15905,1143,15146,1692,8169,3006,751,71,213,154,1564,1334,83,1225,111,373,741,90
BTS,BTS - Production,Conception des processus de réalisation de produits (1ère année commune),7824,445,7271,451,3555,2683,539,37,202,117,1428,1046,133,1075,37,560,478,45
